rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-78.06,10.07,2770,126,186,516096,-0.010462357714714017,3144.016044769287,0.02376953125,0.00938995,0.2,-1.791374179124832,1e-05,12500,1008.0679931640625,0.012171626091003418,,
-95.42,6.03,2794,127,186,520192,-0.004386808565905085,2458.7196923828124,0.0925732421875,0.012076808,0.2,-1.8201767855882645,1e-05,12600,996.3579711914062,0.08312445878982544,,
-81.44,8.51,2818,128,186,524288,-0.01255715799081372,2859.7229791259765,0.03939453125,0.014777467,0.2,-1.8274390204250812,1e-05,12700,1073.7034912109375,0.11012619733810425,,
,,,,,525000,-0.0037866300902533114,2141.0889608764646,0.0379443359375,0.007922297,0.2,-1.8197643786668778,1e-05,12800,876.8040771484375,0.14588779211044312,30.5,-1015.52
-83.66,8.92,2844,129,185,528384,,,,,,,,,,,,
-88.53,7.99,2868,130,185,532480,-0.01397815258911578,3083.1078150939943,0.04667236328125,0.019977722,0.2,-1.8205438564717769,1e-05,12900,1214.0467529296875,0.024816036224365234,,
-83.55,6.77,2891,131,185,536576,-0.0035606866484158674,2089.4921490478514,0.032080078125,0.007935131,0.2,-1.82685894921422,1e-05,13000,831.2841186523438,0.11998003721237183,,
-96.34,11.28,2915,132,185,540672,-0.006017005301400786,2073.4373910522463,0.12289306640625,0.010777988,0.2,-1.8299733743071556,1e-05,13100,826.5642700195312,0.021385014057159424,,
-80.74,8.26,2939,133,185,544768,-0.022141303838725434,5604.053088226318,0.06884521484375,0.02162264,0.2,-1.80328342795372,1e-05,13200,1198.396728515625,-0.09324276447296143,,
-83.18,7.14,2963,134,185,548864,-0.0068073286657454445,2142.3963192749025,0.12287353515625,0.011884013,0.2,-1.8170617112517358,1e-05,13300,900.2284545898438,0.0723373293876648,,
-94.31,9.79,2987,135,185,552960,-0.005654569697508122,2225.8186001586914,0.12090576171875,0.0108741205,0.2,-1.823012140840292,1e-05,13400,956.2938842773438,0.13339018821716309,,
-77.86,10.39,3011,136,184,557056,-0.010101433616800931,3677.005331726074,0.04022705078125,0.010242419,0.2,-1.8312056306004525,1e-05,13500,1172.013916015625,-0.08784139156341553,,
-91.05,8.22,3035,137,184,561152,-0.01508609834156232,4160.04289855957,0.03704345703125,0.016885165,0.2,-1.832654632627964,1e-05,13600,1180.898193359375,0.1236456036567688,,
-85.5,7.27,3059,138,184,565248,-0.003118846332799876,1858.4813063049316,0.07825439453125,0.010516531,0.2,-1.8390250489115716,1e-05,13700,760.7933959960938,0.05346137285232544,,
-88.41,8.47,3083,139,184,569344,-0.012951782513991929,2774.3016993713377,0.10593505859375,0.017636083,0.2,-1.8385226488113404,1e-05,13800,761.4387817382812,0.05425304174423218,,
-73.87,7.93,3106,140,184,573440,-0.009320271438919009,3125.820567321777,0.02790771484375,0.013968239,0.2,-1.8303241136670112,1e-05,13900,989.4278564453125,0.06778073310852051,,
-83.09,8.8,3130,141,184,577536,-0.01838888419762952,4810.880567321778,0.06396728515625,0.032887857,0.2,-1.816725969016552,1e-05,14000,1385.1810302734375,-0.17265450954437256,,
-85.73,7.47,3153,142,184,581632,0.0011991285490512383,2007.9722204589843,0.04431884765625,0.008828726,0.2,-1.8249515354633332,1e-05,14100,850.3806762695312,0.053286969661712646,,
-87.82,8.86,3177,143,184,585728,-0.005696033989443095,2056.796660003662,0.11032470703125,0.011661645,0.2,-1.8148818711936474,1e-05,14200,892.3909301757812,0.11220234632492065,,
-87.93,10.19,3200,144,184,589824,-0.01194108260635403,2463.3614765930174,0.04326904296875,0.013075074,0.2,-1.798382606804371,1e-05,14300,777.6433715820312,0.09485113620758057,,
