#{"t_start": 1642059931.976555, "env_id": null}
r,l,t
0,54,54.539176
0,54,54.598176
0,53,54.656178
20,63,54.721176
0,50,54.774176
0,54,54.827178
10,61,54.889177
0,48,54.937176
0,53,54.994177
20,59,55.058176
10,49,55.10975
0,51,55.161749
0,51,55.21675
0,54,55.267751
0,50,55.32175
20,63,55.387749
0,54,55.455749
0,54,55.511749
0,54,55.56575
0,54,55.61675
0,54,55.676749
0,49,55.726749
0,46,55.77675
0,49,55.827749
0,53,55.885828
0,54,55.942827
0,39,55.981827
0,54,56.034827
0,54,56.129827
0,54,56.182828
0,48,56.228827
0,54,56.282829
0,47,56.335827
0,54,56.389828
0,47,56.439827
0,46,56.48483
10,63,56.553829
0,47,56.600828
0,52,56.650827
0,54,56.703829
0,46,56.754828
0,54,56.811829
0,46,56.858827
0,53,56.907828
0,54,56.97683
10,55,57.033828
0,54,57.090827
0,54,57.145828
0,50,57.204828
0,46,57.249827
0,54,57.299828
0,54,57.355829
0,54,57.416829
40,63,57.485828
0,42,57.527828
20,63,57.590828
0,54,57.648828
0,54,57.705828
0,54,57.761828
0,52,57.813828
0,38,57.859828
0,54,57.911693
0,46,57.957693
0,46,58.004693
0,49,58.065693
0,42,58.109693
20,55,58.167695
40,63,58.230693
0,51,58.286693
20,63,58.354693
0,46,58.408692
0,45,58.463693
0,49,58.516692
0,54,58.569694
0,54,58.623693
0,54,58.675993
20,60,58.742068
0,44,58.787067
10,63,58.851068
0,49,58.897067
20,63,58.971066
0,54,59.027065
0,54,59.082067
0,48,59.130065
20,56,59.192067
0,51,59.24307
0,46,59.285067
0,54,59.342066
0,54,59.399066
0,54,59.462066
0,44,59.504067
0,54,59.556066
0,51,61.299156
0,54,61.407157
0,54,61.528157
0,54,61.636157
0,54,61.746157
0,54,61.848158
0,54,61.951718
0,54,62.05233
0,54,62.162328
0,54,62.266329
0,54,62.37233
0,54,62.481328
0,54,62.58633
0,54,62.694329
0,54,62.801329
0,54,62.907329
0,54,63.017329
0,54,63.125329
0,54,63.231329
0,54,63.336329
0,54,63.621328
0,39,63.741911
0,48,63.889672
0,54,64.049333
0,54,64.244334
0,48,64.404332
0,48,64.551333
0,47,64.689334
0,54,64.870334
0,54,65.030334
0,54,65.200362
0,52,65.357365
0,54,65.530363
0,54,65.702365
0,42,65.827362
0,51,65.983363
0,49,66.152092
0,49,66.310093
0,46,66.467094
0,50,66.628093
0,54,66.815092
0,54,67.010093
0,51,67.169094
0,40,67.311093
0,54,67.537095
0,49,67.709095
0,46,67.881094
0,54,68.058092
0,51,68.235132
0,54,68.400133
0,49,68.580133
0,49,68.730132
0,54,68.905714
0,54,69.071711
0,54,69.242712
0,54,69.430711
0,53,69.604711
0,42,69.740711
0,50,69.896712
0,54,70.071577
0,54,70.245122
0,50,70.410123
10,63,70.653123
0,54,70.825124
20,63,71.032123
0,54,71.209124
0,54,71.378124
0,52,71.553123
0,46,71.696122
0,46,71.843124
0,54,72.001123
0,54,72.171123
0,54,72.332382
0,52,72.499382
0,54,72.669383
0,37,72.783383
0,54,72.948382
0,48,73.103383
0,54,73.273382
0,54,73.453384
0,46,73.622655
0,45,73.760248
0,48,73.909244
0,54,74.086245
20,57,74.262822
0,51,74.436612
0,54,74.596613
0,47,74.742613
0,54,74.909612
0,54,75.091215
20,63,75.286215
0,54,75.452215
0,54,75.621215
0,54,75.780215
0,54,75.960215
0,46,76.097215
0,54,76.279215
0,49,76.439908
0,54,76.602908
0,54,76.779908
0,47,76.932909
0,45,77.07491
30,55,77.246909
0,54,77.409908
0,54,77.584908
0,48,77.731909
0,52,77.889911
0,50,78.039908
0,46,78.18891
0,48,78.338909
0,53,78.498632
0,47,78.646215
0,44,78.784771
0,54,78.948769
0,38,79.070771
0,54,79.227769
20,41,79.35877
0,54,79.536769
0,54,79.696769
0,47,79.844771
0,54,80.023771
0,48,80.174371
20,50,80.327369
20,63,80.526568
0,42,80.659567
0,48,80.807568
0,51,80.966569
10,58,81.151569
20,63,81.345568
0,54,81.523568
0,37,81.639568
0,48,81.789568
0,54,81.963569
0,52,82.13257
0,54,82.299568
0,45,82.440568
